px,py,psi,v,steer_value,throttle_value
-90.8316,-158.206,6.19406,69.5586,-0.00927228,1
-85.8438,-158.639,6.21281,70.3363,-0.00801662,1
-80.7939,-158.986,6.22958,71.1016,-0.00660806,1
-76.3267,-159.223,6.24299,71.7611,-0.00684476,1
-71.8158,-159.402,6.25598,72.4109,-0.00766118,1
-66.6087,-159.533,6.27078,73.1422,-0.00789,1
-62.0087,-159.584,0.000343681,73.7725,-0.00700984,1
-56.7035,-159.571,0.0146515,74.4817,-0.00723614,1
-52.0208,-159.495,0.0273336,75.0924,-0.00804325,1
-45.9467,-159.307,0.0442362,75.8647,-0.00826951,1
-41.1835,-159.089,0.0575259,76.4648,-0.00796158,1
-35.6974,-158.757,0.0732536,77.1618,-0.00759376,1
-30.8639,-158.391,0.0871748,77.6703,-0.00898635,1
-25.3052,-157.888,0.103131,78.3223,-0.00772016,1
-19.7089,-157.295,0.118078,78.9542,-0.00517247,1
-14.7829,-156.708,0.129392,79.4978,-0.00331024,1
-9.12002,-155.969,0.140474,80.1112,-0.00330557,1
-4.13621,-155.269,0.148488,80.6394,-0.00148103,1
0.875004,-154.529,0.154029,81.1606,0.00171785,1
6.63727,-153.651,0.156817,81.7471,0.00334735,1
11.7115,-152.868,0.156624,82.2525,0.00372634,1
17.5488,-151.969,0.154275,82.8213,0.00351358,1
23.4279,-151.077,0.150073,83.3806,0.00428441,1
29.3499,-150.203,0.144204,83.9306,0.00467519,1
34.5668,-149.458,0.138871,84.4045,0.00182122,1
40.5682,-148.627,0.134006,84.9375,0.000183441,1
46.61,-147.813,0.130639,85.4617,-0.000250512,1
52.6904,-147.007,0.12925,85.9771,-0.0023584,1
58.8068,-146.195,0.131256,86.4839,-0.00602846,1
65.5395,-145.27,0.139094,82.3793,-0.0104126,0
70.551,-144.547,0.148188,79.6023,-0.0130881,0
75.3191,-143.801,0.161892,75.3574,-0.0163292,0
80.4836,-142.909,0.181941,71.6753,-0.020352,0
86.5362,-141.703,0.216348,66.8702,-0.02692,0
91.047,-140.646,0.25027,63.1664,-0.0302075,0
94.7535,-139.646,0.283832,59.9847,-0.0340099,0
99.1867,-138.253,0.332062,55.9851,-0.0385892,0
103.673,-136.572,0.390804,51.6595,-0.0437603,0
106.932,-135.141,0.439548,48.2924,-0.0445211,0
109.546,-133.843,0.482715,45.4085,-0.048091,0
112.586,-132.127,0.540271,41.7837,-0.0551212,0
114.99,-130.576,0.593819,38.639,-0.0627293,0
117.369,-128.825,0.655834,35.1912,-0.0676185,0
118.987,-127.474,0.705842,32.5671,-0.0796018,0
120.449,-126.107,0.757508,32.3557,-0.0820234,1
121.877,-124.612,0.813937,33.5668,-0.08103,1
123.261,-122.976,0.875417,34.7558,-0.087263,1
124.578,-121.192,0.944028,35.9206,-0.0973426,1
125.962,-118.967,1.03198,37.2288,-0.10359,1
127.039,-116.855,1.11459,38.3606,-0.101584,1
127.965,-114.598,1.19991,39.4775,-0.0991255,1
128.81,-111.852,1.30068,40.7292,-0.100779,1
129.336,-109.319,1.39102,41.808,-0.0982008,1
129.674,-106.299,1.49307,43.0287,-0.0889447,1
129.726,-103.175,1.59066,44.2311,-0.0794722,1
129.456,-99.5677,1.69214,45.5538,-0.0687003,1
128.995,-96.7178,1.76409,46.5731,-0.0580477,1
128.219,-93.4311,1.8378,47.7225,-0.0494373,1
127.34,-90.5401,1.89522,48.7144,-0.0419235,1
126.289,-87.6408,1.94531,49.6946,-0.0322802,1
125.088,-84.7349,1.9877,50.6618,-0.0248044,1
123.75,-81.8225,2.02371,51.6148,-0.0218557,1
122.291,-78.9031,2.05464,52.5542,-0.0183481,1
120.722,-75.9749,2.08084,53.4813,-0.013852,1
118.814,-72.6103,2.10284,54.5262,-0.00323194,1
117.065,-69.6429,2.11593,55.4262,-0.0024791,1
114.984,-66.2207,2.12825,56.4381,-0.00729461,1
112.824,-62.7631,2.13809,57.4346,-0.0019702,1
110.595,-59.2653,2.14529,58.4148,-0.00207599,1
